"Code","Class","Brand","Description","SourceFile"
"B00F6","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00F7","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00F8","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00F9","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FA","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FB","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FC","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FD","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FE","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00FF","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0100","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0101","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0102","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0103","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0104","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0105","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0106","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0107","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0108","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
